Chr	GeneID	GeneName	Start	Stop	CodingLength	log2FoldChange	Foldchange	pval	padj
chr22	ENSG00000100271	TTLL1	43435522	43485434	1877	-0.142	0.906	0.594662086	0.79235431
chr22	ENSG00000100266	PACSIN2	43231418	43411151	4545	-0.023	0.984	0.892589971	0.95437613
chr22	ENSG00000100263	RHBDD3	29655841	29664198	3014	0.135	1.098	0.56091411	0.768794597
chr22	ENSG00000100258	LMF2	50941376	50946135	3071	-0.222	0.857	0.251795613	0.494886571
chr22	ENSG00000100246	DNAL4	39174513	39190203	2430	-0.157	0.897	0.480865201	0.70904169
chr22	ENSG00000100243	CYB5R3	43013846	43045574	5973	-0.264	0.833	0.14749584	0.357706625
chr22	ENSG00000100242	SUN2	39130730	39190148	6490	-0.155	0.898	0.345494542	0.590943796
chr22	ENSG00000100241	SBF1	50883429	50913454	9442	0.472	1.387	0.0099354	0.056649311
chr22	ENSG00000100239	PPP6R2	50781733	50883514	5344	0.194	1.144	0.283398499	0.529371449
chr22	ENSG00000100234	TIMP3	33197687	33259030	4603	-2.08	0.237	6.65E-07	1.34E-05
chr22	ENSG00000100228	RAB36	23487513	23506537	4107	-0.387	0.764	0.090487517	0.262166088
chr22	ENSG00000100227	POLDIP3	42979727	43010968	3650	0.115	1.083	0.475451648	0.704614706
chr22	ENSG00000100226	GTPBP1	39101728	39134304	8166	-0.013	0.991	0.937272025	0.974130576
chr22	ENSG00000100225	FBXO7	32870663	32894818	8523	-0.154	0.899	0.343050515	0.588610038
chr22	ENSG00000100221	JOSD1	39081548	39097561	4326	-0.216	0.861	0.186400428	0.414134171
chr22	ENSG00000100220	RTCB	32783569	32808242	2959	-0.089	0.94	0.597298039	0.794074121
chr22	ENSG00000100219	XBP1	29190543	29196585	3028	-0.645	0.64	0.001714659	0.01472561
chr22	ENSG00000100216	TOMM22	39077953	39080818	1583	-0.128	0.915	0.511192985	0.732882038
chr22	ENSG00000100211	CBY1	39052641	39069859	2348	-0.026	0.982	0.901301864	0.957722969
chr22	ENSG00000100209	HSCB	29138019	29153503	1462	-0.406	0.755	0.130243296	0.33193484
chr22	ENSG00000100207	TCF20	42556019	42739622	7548	0.506	1.42	0.006423059	0.041038238
chr22	ENSG00000100201	DDX17	38879445	38903665	9998	0.107	1.077	0.604182981	0.798709494
chr22	ENSG00000100197	CYP2D6	42522501	42526908	2395	0.906	1.874	0.021642014	0.09976508
chr22	ENSG00000100196	KDELR3	38864067	38879452	1929	-0.815	0.568	0.007135385	0.044468253
chr22	ENSG00000100181	TPTEP1	17082777	17179632	12081	-0.336	0.792	0.370472222	0.615072087
chr22	ENSG00000100170	SLC5A1	32439019	32509016	5289	-1.228	0.427	0.015495436	0.078445102
chr22	ENSG00000100167	3-Sep	42372276	42394225	5427	-0.606	0.657	0.135425335	0.339780675
chr22	ENSG00000100162	CENPM	42334725	42343168	1778	0.374	1.296	0.178239356	0.403121005
chr22	ENSG00000100156	SLC16A8	38474141	38480100	2203	0.541	1.455	0.288148268	0.53463583
chr22	ENSG00000100154	TTC28	28374004	29075853	12641	0.132	1.096	0.455238359	0.688868675
chr22	ENSG00000100151	PICK1	38452318	38471708	4371	0.432	1.349	0.050355403	0.178571651
chr22	ENSG00000100150	DEPDC5	32149944	32303012	8587	0.159	1.116	0.505590017	0.72848367
chr22	ENSG00000100147	CCDC134	42196683	42222303	1270	0.478	1.392	0.102269411	0.282838121
chr22	ENSG00000100142	POLR2F	38348614	38437922	7042	0.028	1.019	0.90073207	0.957528896
chr22	ENSG00000100139	MICALL1	38301664	38338829	5968	0.424	1.342	0.02357274	0.106083227
chr22	ENSG00000100138	NHP2L1	42069934	42086508	2780	-0.117	0.922	0.494218981	0.719591155
chr22	ENSG00000100129	EIF3L	38244875	38285414	4296	-0.221	0.858	0.303838864	0.551616684
chr22	ENSG00000100124	ANKRD54	38226862	38245334	4487	-0.025	0.983	0.906198656	0.959925891
chr22	ENSG00000100121	GGTLC2	22988780	22990368	952	1.077	2.11	0.015910945	0.079941279
chr22	ENSG00000100116	GCAT	38203912	38213183	2102	-0.014	0.99	0.957709718	0.983342649
chr22	ENSG00000100109	TFIP11	26887191	26908471	5431	0.15	1.109	0.375075624	0.61905886
chr22	ENSG00000100106	TRIOBP	38093011	38172563	12238	0.041	1.029	0.821827216	0.921844298
chr22	ENSG00000100105	PATZ1	31721790	31742218	5693	0.23	1.173	0.164591987	0.38359314
chr22	ENSG00000100104	SRRD	26879843	26890624	4319	-0.031	0.979	0.86776256	0.943718658
chr22	ENSG00000100101	NOL12	38077680	38170137	10909	0.083	1.059	0.64460535	0.825810174
chr22	ENSG00000100100	PIK3IP1	31677579	31688520	3805	-0.894	0.538	0.00016864	0.00203091
chr22	ENSG00000100099	HPS4	26839389	26879803	10782	0.091	1.065	0.638164907	0.821004545
chr22	ENSG00000100097	LGALS1	38071615	38075813	1099	-1.573	0.336	8.46E-08	2.01E-06
chr22	ENSG00000100092	SH3BP1	38030661	38062939	6268	-0.123	0.918	0.553662516	0.763869815
chr22	ENSG00000100084	HIRA	19318221	19435224	4431	0.454	1.37	0.017107071	0.08395811
chr22	ENSG00000100083	GGA1	38004481	38029571	9370	0.122	1.088	0.52004243	0.739301785
chr22	ENSG00000100079	LGALS2	37966255	37978623	826	-1.943	0.26	0.003735493	0.02742105
chr22	ENSG00000100077	ADRBK2	25960816	26125261	9153	-1.024	0.492	0.000691978	0.006810762
chr22	ENSG00000100075	SLC25A1	19163095	19166343	2089	-0.008	0.995	0.968180817	0.98859273
chr22	ENSG00000100068	LRP5L	25747385	25801344	4555	0.133	1.097	0.701194073	0.859100381
chr22	ENSG00000100065	CARD10	37886400	37915549	5652	0.229	1.172	0.400547519	0.642934335
chr22	ENSG00000100060	MFNG	37865101	37882439	3042	-1.977	0.254	1.87E-05	0.000290416
chr22	ENSG00000100058	CRYBB2P1	25844072	25916821	6435	0.489	1.403	0.099883318	0.279139588
chr22	ENSG00000100056	DGCR14	19117792	19132197	6003	0.325	1.253	0.145346673	0.354827319
chr22	ENSG00000100055	CYTH4	37678068	37711382	6157	-6.871	0.009	2.78E-37	8.21E-35
chr22	ENSG00000100038	TOP3B	22311397	22337213	6641	0.579	1.494	0.025005242	0.110408354
chr22	ENSG00000100036	SLC35E4	31031639	31065003	5531	-0.177	0.885	0.497657604	0.722165796
chr22	ENSG00000100034	PPM1F	22273793	22307209	7318	-0.392	0.762	0.111909263	0.30069765
chr22	ENSG00000100033	PRODH	18900294	18924066	8772	0.018	1.013	0.959962149	0.984587789
chr22	ENSG00000100031	GGT1	24979718	25024972	4434	0.754	1.686	0.000823566	0.007906941
chr22	ENSG00000100030	MAPK1	22108789	22221970	11336	-0.29	0.818	0.102275723	0.282838121
chr22	ENSG00000100029	PES1	30972612	31003070	4557	0.042	1.029	0.798515744	0.910409867
chr22	ENSG00000100028	SNRPD3	24951471	25005947	2544	0.138	1.1	0.403755043	0.644403507
chr22	ENSG00000100027	YPEL1	22051833	22090123	4713	-0.07	0.953	0.766813052	0.893439887
chr22	ENSG00000100023	PPIL2	22006559	22054304	8462	0.205	1.152	0.234511656	0.476834382
chr22	ENSG00000100014	SPECC1L	24666786	24813708	7323	0.298	1.229	0.094415752	0.269721787
chr22	ENSG00000100003	SEC14L2	30792846	30821305	5984	-0.159	0.896	0.59171662	0.790557743
chr22	ENSG00000099999	RNF215	30773835	30817760	3079	-0.038	0.974	0.871933646	0.94559614
chr22	ENSG00000099998	GGT5	24615622	24641110	2590	-3.907	0.067	1.88E-15	1.02E-13
chr22	ENSG00000099995	SF3A1	30727977	30752936	6329	-0.08	0.946	0.624314325	0.812195469
chr22	ENSG00000099994	SUSD2	24577227	24585078	5279	-0.607	0.657	0.00996596	0.056742896
chr22	ENSG00000099992	TBC1D10A	30687979	30723035	7047	-0.417	0.749	0.07101738	0.223924684
chr22	ENSG00000099991	CABIN1	24407642	24574596	9388	0.236	1.177	0.175896327	0.400284301
chr22	ENSG00000099985	OSM	30658818	30662829	2114	-8.214	0.003	1.55E-33	3.48E-31
chr22	ENSG00000099977	DDT	24313554	24322660	1753	-0.027	0.981	0.901471894	0.957722969
chr22	ENSG00000099974	DDTL	24309089	24314721	1545	-0.004	0.997	0.986287052	0.995445385
chr22	ENSG00000099968	BCL2L13	18111621	18213388	7527	-0.24	0.847	0.177414381	0.402079244
chr22	ENSG00000099960	SLC7A4	21383007	21387129	2447	-0.272	0.828	0.44566961	0.681405026
chr22	ENSG00000099958	DERL3	24176690	24181315	3796	-1.079	0.473	0.007665814	0.046896743
chr22	ENSG00000099956	SMARCB1	24129150	24176703	2481	0.102	1.074	0.53094329	0.747652906
chr22	ENSG00000099954	CECR2	17840837	18037850	10247	0.726	1.654	0.13921584	0.346249846
chr22	ENSG00000099953	MMP11	24110413	24126503	5176	-3.724	0.076	8.50E-32	1.63E-29
chr22	ENSG00000099949	LZTR1	21333751	21353327	7556	-0.077	0.948	0.724365536	0.871933146
chr22	ENSG00000099942	CRKL	21271714	21308037	5325	0.022	1.015	0.904804474	0.959155897
chr22	ENSG00000099940	SNAP29	21213271	21245506	4953	-0.043	0.971	0.804159142	0.913641783
chr22	ENSG00000099917	MED15	20850200	20941919	10374	-0.113	0.925	0.572995545	0.776482566
chr22	ENSG00000099910	KLHL22	20783528	20850170	5112	-0.047	0.968	0.824893436	0.922955
chr22	ENSG00000099904	ZDHHC8	20116979	20135530	5542	0.154	1.113	0.469882107	0.699646334
chr22	ENSG00000099901	RANBP1	20103461	20114878	4620	0.172	1.126	0.330529818	0.577216738
chr22	ENSG00000099899	TRMT2A	20099389	20104915	3963	0.096	1.069	0.678679684	0.846150986
chr22	ENSG00000099889	ARVCF	19957419	20004331	5621	0.443	1.359	0.079789408	0.241515987
chr19	ENSG00000099875	MKNK2	2037470	2051243	5275	0.062	1.044	0.717792666	0.868943426
chr11	ENSG00000099869	IGF2-AS	2161731	2169894	2867	-0.531	0.692	0.435700223	0.672770203
chr19	ENSG00000099864	PALM	708953	748329	5215	-0.146	0.904	0.637847711	0.820904174
chr19	ENSG00000099860	GADD45B	2476120	2478257	2138	-2.437	0.185	2.38E-08	5.99E-07
chr11	ENSG00000099849	RASSF7	560404	564021	2492	0.076	1.054	0.690813447	0.853648836
chr19	ENSG00000099821	POLRMT	617223	633597	5701	0.118	1.085	0.544117824	0.757194516
chr19	ENSG00000099817	POLR2E	1086594	1095598	3991	0.087	1.062	0.635581833	0.819329966
chr14	ENSG00000099814	CEP170B	105331617	105363107	7199	0.947	1.928	3.45E-07	7.30E-06
chr19	ENSG00000099812	MISP	751126	764319	2872	0.488	1.403	0.014348827	0.074398875
chr9	ENSG00000099810	MTAP	21802542	21931646	7995	-0.045	0.969	0.802613084	0.912922911
chr19	ENSG00000099804	CDC34	531714	542097	2172	0.081	1.057	0.673800261	0.843992134
chr19	ENSG00000099800	TIMM13	2425622	2427892	1973	0.061	1.044	0.747655741	0.883949159
chr19	ENSG00000099797	TECR	14627897	14676792	5749	0.081	1.058	0.636644151	0.820170526
chr19	ENSG00000099795	NDUFB7	14676890	14682874	531	-0.112	0.925	0.531761897	0.748217725
chr19	ENSG00000099785	2-Mar	8478154	8503901	2216	-0.369	0.774	0.103246072	0.284821117
chr19	ENSG00000099783	HNRNPM	8509651	8553998	5606	0.267	1.203	0.147575312	0.357708752
chr16	ENSG00000099769	IGFALS	1840414	1844972	2363	0.863	1.819	0.017053544	0.083763953
chr19	ENSG00000099625	C19orf26	1228286	1238026	4543	0.17	1.125	0.637874169	0.820904174
chr19	ENSG00000099624	ATP5D	1241749	1244824	2245	-0.067	0.955	0.754898962	0.887048331
chr19	ENSG00000099622	CIRBP	1259384	1274879	6890	0.224	1.168	0.298024365	0.54477603
chr19	ENSG00000099617	EFNA2	1286153	1301430	2143	-1.233	0.425	0.070497665	0.222916343
chr16	ENSG00000099385	BCL7C	30844947	30906281	4398	0.016	1.011	0.929099568	0.970414456
chr16	ENSG00000099381	SETD1A	30968615	30996437	6903	0.557	1.472	0.002292538	0.018672405
chr16	ENSG00000099377	HSD3B7	30996519	31000473	2504	-0.329	0.796	0.174623148	0.398556347
chr16	ENSG00000099364	FBXL19	30934376	30960104	4340	0.812	1.756	3.07E-05	0.00045609
chr19	ENSG00000099341	PSMD8	38865176	38874464	3105	-0.023	0.984	0.897554222	0.956328468
chr19	ENSG00000099338	CATSPERG	38826415	38861589	9283	-0.136	0.91	0.660761731	0.836096593
chr19	ENSG00000099337	KCNK6	38810484	38819660	3113	-1.2	0.435	0.00744197	0.045854768
chr19	ENSG00000099331	MYO9B	17186591	17325346	9948	0.413	1.331	0.02634578	0.114358393
chr19	ENSG00000099330	OCEL1	17337013	17340028	1867	0.046	1.033	0.850728227	0.936108021
chr19	ENSG00000099326	MZF1	59073298	59084942	6691	0.218	1.163	0.323285062	0.570361329
chr19	ENSG00000099308	MAST3	18208603	18262502	6772	0.172	1.126	0.506372196	0.728876881
chr10	ENSG00000099290	FAM21A	51827648	51893269	5162	0.217	1.163	0.428567186	0.666228511
chr10	ENSG00000099284	H2AFY2	71812552	71872036	1980	0.267	1.203	0.339375865	0.585355763
chr10	ENSG00000099282	TSPAN15	71211229	71267425	2646	0.37	1.292	0.054519392	0.18791435
chr1	ENSG00000099260	PALMD	100111499	100160097	8244	-0.844	0.557	0.183631799	0.410575782
chr10	ENSG00000099256	PRTFDC1	25137536	25241533	2329	0.26	1.198	0.401392353	0.643257434
chr10	ENSG00000099251	HSD17B7P2	38645305	38667433	1654	0.411	1.33	0.217669129	0.455172358
chr10	ENSG00000099250	NRP1	33466420	33625190	11517	-2.671	0.157	1.19E-06	2.31E-05
chr10	ENSG00000099246	RAB18	27793197	27831143	6106	-0.509	0.703	0.005864011	0.038309836
chr9	ENSG00000099219	ERMP1	5765076	5833117	6528	0.003	1.002	0.989994357	0.996627094
chr10	ENSG00000099204	ABLIM1	116190872	116444762	9871	0.407	1.326	0.058225157	0.19660055
chr19	ENSG00000099203	TMED1	10943114	10946994	1513	0.054	1.038	0.768838551	0.894591674
chr10	ENSG00000099194	SCD	102106881	102124591	5362	-0.014	0.99	0.956694374	0.982790227
chr9	ENSG00000099139	PCSK5	78505560	78977255	12705	-0.641	0.641	0.094642132	0.269943127
chr1	ENSG00000097096	SYDE2	85622556	85666729	6451	-0.072	0.951	0.801442869	0.912283949
chr1	ENSG00000097046	CDC7	91966408	91991321	3599	0.483	1.398	0.045470047	0.166144818
chr1	ENSG00000097033	SH3GLB1	87170259	87213867	6827	-0.735	0.601	1.18E-05	0.000189272
chr1	ENSG00000097021	ACOT7	6324329	6454451	4892	0.25	1.189	0.294241443	0.540507942
chr9	ENSG00000097007	ABL1	133589333	133763062	6276	0.507	1.421	0.007992843	0.048306093
chr9	ENSG00000096968	JAK2	4985033	5128183	6068	-1.471	0.361	3.90E-06	6.79E-05
chr9	ENSG00000096872	IFT74	26947037	27062928	3755	-0.007	0.995	0.974261674	0.990723985
chr10	ENSG00000096746	HNRNPH3	70090931	70102948	5373	0.239	1.18	0.182270397	0.408649095
chr10	ENSG00000096717	SIRT1	69644427	69678147	4551	-0.222	0.858	0.250893547	0.493989571
chr6	ENSG00000096696	DSP	7541808	7586950	10093	0.319	1.248	0.209672432	0.445176587
chr6	ENSG00000096654	ZNF184	27418522	27440897	3122	0.152	1.111	0.497386085	0.722092605
chr6	ENSG00000096433	ITPR3	33588142	33664351	9870	0.559	1.474	0.004275558	0.030226266
chr6	ENSG00000096401	CDC5L	44355262	44418163	6423	0.306	1.236	0.137105167	0.342600385
chr6	ENSG00000096384	HSP90AB1	44214824	44221620	2796	0.335	1.262	0.165059427	0.384401921
chr6	ENSG00000096093	EFHC1	52285106	52387892	7510	0.17	1.125	0.44594825	0.681632904
chr6	ENSG00000096092	TMEM14A	52535907	52551386	992	-0.093	0.938	0.695017739	0.856314398
chr6	ENSG00000096080	MRPS18A	43639040	43655528	1284	0.325	1.253	0.140153544	0.347573061
chr6	ENSG00000096070	BRPF3	36164521	36200567	6618	0.476	1.391	0.012850022	0.069055437
chr6	ENSG00000096063	SRPK1	35800743	35889119	6692	0.202	1.151	0.254912933	0.498087913
chr6	ENSG00000096060	FKBP5	35541362	35696360	10628	-1.1	0.467	0.000592835	0.005942217
chr6	ENSG00000095970	TREM2	41126244	41130924	1095	-9.346	0.002	1.34E-36	3.78E-34
chr6	ENSG00000095951	HIVEP1	12008995	12165232	10975	0.024	1.017	0.90611485	0.959925891
chr19	ENSG00000095932	C19orf77	3474405	3480540	1077	0.887	1.849	0.08109791	0.244293679
chr16	ENSG00000095906	NUBP2	1832902	1839192	4983	0.103	1.074	0.591491794	0.790557743
chr10	ENSG00000095794	CREM	35415719	35501886	5695	-0.535	0.69	0.006288954	0.040425461
chr10	ENSG00000095787	WAC	28821422	28912041	12188	0.164	1.12	0.345546954	0.590977262
chr10	ENSG00000095777	MYO3A	26223196	26501456	8188	-0.887	0.541	0.154575914	0.369008138
chr10	ENSG00000095739	BAMBI	28966271	28971868	2314	-1.297	0.407	0.024426864	0.108569203
chr10	ENSG00000095713	CRTAC1	99624757	99790585	3531	0.015	1.011	0.963186662	0.986096189
chr10	ENSG00000095637	SORBS1	97071528	97321171	10819	-0.373	0.772	0.199188009	0.431642038
chr10	ENSG00000095585	BLNK	97951458	98031344	3706	-0.943	0.52	0.018734445	0.089598655
chr10	ENSG00000095574	IKZF5	124750322	124768333	4821	-0.4	0.758	0.083361543	0.248629671
chr10	ENSG00000095564	BTAF1	93683526	93790082	7673	-0.167	0.891	0.429392238	0.666979637
chr10	ENSG00000095539	SEMA4G	102729275	102745628	5253	0.655	1.574	0.01525068	0.077730943
chr10	ENSG00000095485	CWF19L1	101992055	102027437	3985	0.317	1.246	0.112265677	0.301144979
chr9	ENSG00000095397	DFNB31	117164360	117267730	5542	0.221	1.165	0.390380997	0.632944568
chr9	ENSG00000095383	TBC1D2	100961311	101017915	3563	-0.019	0.987	0.928363374	0.970096052
chr9	ENSG00000095380	NANS	100819021	100845357	4922	0.034	1.024	0.856431435	0.938287753
chr9	ENSG00000095370	SH2D3C	130500596	130541020	4599	-2.468	0.181	1.66E-07	3.73E-06
chr9	ENSG00000095321	CRAT	131857089	131873468	3803	0.05	1.035	0.837848389	0.929239162
chr9	ENSG00000095319	NUP188	131709978	131769375	8041	0.417	1.335	0.031059625	0.128112051
chr9	ENSG00000095303	PTGS1	125132824	125157982	5607	0.632	1.55	0.104832709	0.287698307
chr9	ENSG00000095261	PSMD5	123577774	123605262	4432	-0.073	0.951	0.70104914	0.859097952
chr9	ENSG00000095209	TMEM38B	108456825	108538893	4511	-0.735	0.601	0.002871553	0.0222215
chr9	ENSG00000095203	EPB41L4B	111934255	112083244	7879	0.094	1.068	0.677199334	0.845438225
chr11	ENSG00000095139	ARCN1	118443105	118473748	4177	-0.093	0.938	0.621019839	0.810018047
chr19	ENSG00000095066	HOOK2	12873817	12983554	5950	-0.529	0.693	0.005417425	0.036020068
chr19	ENSG00000095059	DHPS	12786531	12792716	3006	0.06	1.042	0.731700866	0.876558813
chr5	ENSG00000095015	MAP3K1	56111401	56191979	7716	0.044	1.031	0.79292015	0.907184133
chr2	ENSG00000095002	MSH2	47630108	47789450	4552	0.147	1.107	0.393494825	0.635868411
chr1	ENSG00000094975	SUCO	172501489	172580971	7835	0.039	1.027	0.821844872	0.921844298
chr1	ENSG00000094963	FMO2	171154347	171181822	6239	-3.611	0.082	0.000227957	0.002666711
chr12	ENSG00000094916	CBX5	54624724	54673886	12508	0.335	1.261	0.126627888	0.325460269
chr12	ENSG00000094914	AAAS	53701240	53718648	4138	0.327	1.254	0.057812043	0.195664838
chr5	ENSG00000094880	CDC23	137523339	137549032	4616	0.048	1.034	0.769706391	0.894907638
chrX	ENSG00000094841	UPRT	74493920	74524435	2825	-0.205	0.868	0.39801793	0.640703104
chr17	ENSG00000094804	CDC6	38443885	38459171	3382	0.705	1.63	0.00030482	0.003421283
chr5	ENSG00000094755	GABRP	170190354	170241051	4621	-0.083	0.944	0.843655201	0.932509124
chrX	ENSG00000094631	HDAC6	48659784	48683392	10412	0.352	1.277	0.037733123	0.146566138
chr3	ENSG00000093217	XYLB	38388251	38462839	5343	-0.229	0.853	0.45673093	0.690004981
chr3	ENSG00000093183	SEC22C	42589461	42642572	8159	0.14	1.102	0.413565731	0.652866514
chr3	ENSG00000093167	LRRFIP2	37094117	37225180	10674	0	1	0.998772519	0.999497082
chr6	ENSG00000093144	ECHDC1	127609855	127664754	5678	-0.223	0.857	0.227456115	0.467757861
chr22	ENSG00000093100	XXbac-B461K10.4	18270418	18294263	4328	0.396	1.316	0.045695449	0.166731399
chr22	ENSG00000093072	CECR1	17660194	17702879	5136	-2.316	0.201	4.98E-05	0.000700207
chr22	ENSG00000093010	COMT	19929130	19957498	5195	-0.505	0.705	0.023044328	0.104194641
chr22	ENSG00000093009	CDC45	19466982	19508135	2846	0.487	1.402	0.066982821	0.215091006
chr22	ENSG00000093000	NUP50	45559722	45583896	8318	0.15	1.109	0.371050331	0.615529653
chr1	ENSG00000092978	GPATCH2	217600334	217804424	8833	-0.076	0.949	0.7217127	0.871038118
chr1	ENSG00000092969	TGFB2	218519577	218617961	5151	-0.992	0.503	0.037122812	0.14505694
chr8	ENSG00000092964	DPYSL2	26371791	26515694	7052	-1.396	0.38	5.25E-06	8.93E-05
chr17	ENSG00000092931	MFSD11	74731947	74777531	6587	0.218	1.163	0.238523355	0.481273096
chr17	ENSG00000092929	UNC13D	73823306	73840798	7752	0.48	1.395	0.144004372	0.35273223
chr17	ENSG00000092871	RFFL	33333009	33416338	8512	0.039	1.027	0.823353613	0.922166471
chr1	ENSG00000092853	CLSPN	36185819	36235568	5411	1.076	2.108	0.001182896	0.010786954
chr1	ENSG00000092850	TEKT2	36549676	36553876	1978	0.15	1.11	0.692358516	0.854297955
chr1	ENSG00000092847	AGO1	36335409	36395211	12886	0.167	1.122	0.330672942	0.577305866
chr12	ENSG00000092841	MYL6	56551945	56557280	4609	-0.066	0.956	0.774390826	0.89709869
chr6	ENSG00000092820	EZR	159186773	159240444	3336	0.291	1.224	0.137422603	0.343117884
chr20	ENSG00000092758	COL9A3	61447596	61472511	4831	-0.2	0.871	0.641821504	0.823348164
chr1	ENSG00000092621	PHGDH	120202421	120286838	5622	0.484	1.398	0.044911092	0.164704519
chr1	ENSG00000092607	TBX15	119425669	119532179	3806	-2.51	0.176	6.10E-06	0.000103207
chr15	ENSG00000092531	SNAP23	42783431	42837547	5893	-0.469	0.722	0.010441956	0.058691555
chr15	ENSG00000092529	CAPN3	42640301	42704516	5129	0.147	1.107	0.655152158	0.832117696
chr15	ENSG00000092470	WDR76	44119161	44160617	4078	0.313	1.242	0.278130351	0.523707661
chr15	ENSG00000092445	TYRO3	41849873	41871536	6697	-0.054	0.963	0.848373227	0.934822761
chr15	ENSG00000092439	TRPM7	50844670	50979012	9198	0.182	1.135	0.407947121	0.647818588
chr5	ENSG00000092421	SEMA6A	115779312	115910630	10956	0.525	1.439	0.058988611	0.198266971
chr14	ENSG00000092330	TINF2	24708849	24711880	2712	-0.029	0.98	0.855685958	0.937984535
chr14	ENSG00000092295	TGM1	24718320	24733638	3735	-0.033	0.978	0.922693767	0.967384681
chr14	ENSG00000092208	GEMIN2	39583427	39606177	2532	0.194	1.144	0.420597016	0.659260686
chr14	ENSG00000092203	TOX4	21944756	21967319	7076	0.138	1.1	0.399055768	0.641856909
chr14	ENSG00000092201	SUPT16H	21819631	21852425	7151	0.281	1.215	0.123298173	0.320205072
chr14	ENSG00000092199	HNRNPC	21677295	21737653	7315	0.101	1.073	0.606312621	0.799572925
chr14	ENSG00000092148	HECTD1	31569318	31677010	12417	0.213	1.159	0.289927904	0.536240527
chr14	ENSG00000092140	G2E3	31028329	31089269	10025	-0.113	0.925	0.621339319	0.810263948
chr14	ENSG00000092108	SCFD1	31091318	31205018	6571	-0.132	0.913	0.472377357	0.702123486
chr14	ENSG00000092098	RNF31	24615892	24629870	4982	0.407	1.326	0.024187622	0.108039646
chr14	ENSG00000092096	SLC22A17	23815515	23822121	4278	-0.365	0.776	0.385043449	0.62767978
chr14	ENSG00000092094	OSGEP	20914570	20923264	5041	0.356	1.28	0.08271762	0.247341768
